[21.07.2019 11:51:53] Interpreter #0 got file D:\Coding\C#\Interpreter\ProgramExamples\fst.npr
[21.07.2019 11:51:53] Lexems of the program:
[21.07.2019 11:51:53] 0 lexems
[21.07.2019 11:51:55] Interpreter #1 got file D:\Coding\C#\Interpreter\ProgramExamples\fst.npr
[21.07.2019 11:51:55] Lexems of the program:
[21.07.2019 11:51:55] 0 lexems
[21.07.2019 11:52:02] interpreter #0 executing 0 0
[21.07.2019 11:52:02] interpreter #0 executing 0 0
[21.07.2019 11:52:03] interpreter #0 executing 0 0
[21.07.2019 11:52:03] interpreter #0 executing 1 10
[21.07.2019 11:52:03] interpreter #0 executing 2 0,785398163397448
[21.07.2019 11:52:03] interpreter #0 executing 4 0
[21.07.2019 11:52:03] interpreter #0 executing 0 0
[21.07.2019 11:52:03] interpreter #0 executing 0 0
[21.07.2019 11:52:03] interpreter #0 executing 0 0
[21.07.2019 11:52:03] interpreter #0 executing 0 0
[21.07.2019 11:52:03] interpreter #0 executing 0 0
[21.07.2019 11:52:04] interpreter #0 executing 0 0
[21.07.2019 11:52:04] interpreter #0 executing 0 0
[21.07.2019 11:52:04] interpreter #0 executing 0 0
[21.07.2019 11:52:04] interpreter #0 executing 0 0
[21.07.2019 11:52:04] interpreter #0 executing 0 0
[21.07.2019 11:52:04] interpreter #0 executing 0 0
[21.07.2019 11:52:04] interpreter #0 executing 0 0
[21.07.2019 11:52:04] interpreter #0 executing 0 0
[21.07.2019 11:52:04] interpreter #0 executing 0 0
[21.07.2019 11:52:05] interpreter #0 executing 0 0
[21.07.2019 11:52:05] interpreter #0 executing 0 0
[21.07.2019 11:52:05] interpreter #0 executing 0 0
[21.07.2019 11:52:05] interpreter #0 executing 0 0
[21.07.2019 11:52:05] interpreter #0 executing 0 0
[21.07.2019 11:52:05] interpreter #0 executing 0 0
[21.07.2019 11:52:05] interpreter #0 executing 0 0
[21.07.2019 11:52:05] interpreter #0 executing 0 0
[21.07.2019 11:52:05] interpreter #0 executing 0 0
[21.07.2019 11:52:06] interpreter #0 executing 0 0
[21.07.2019 11:52:06] interpreter #0 executing 0 0
[21.07.2019 11:52:06] interpreter #0 executing 0 0
[21.07.2019 11:52:06] interpreter #0 executing 0 0
[21.07.2019 11:52:06] interpreter #0 executing 0 0
[21.07.2019 11:52:06] interpreter #0 executing 0 0
[21.07.2019 11:52:06] interpreter #0 executing 0 0
[21.07.2019 11:52:06] interpreter #0 executing 0 0
[21.07.2019 11:52:06] interpreter #0 executing 0 0
[21.07.2019 11:52:07] interpreter #0 executing 0 0
[21.07.2019 11:52:07] interpreter #0 executing 0 0
[21.07.2019 11:52:07] interpreter #0 executing 0 0
[21.07.2019 11:52:07] interpreter #0 executing 0 0
[21.07.2019 11:52:07] interpreter #0 executing 0 0
[21.07.2019 11:52:07] interpreter #0 executing 0 0
[21.07.2019 11:52:07] interpreter #0 executing 0 0
[21.07.2019 11:52:07] interpreter #0 executing 0 0
[21.07.2019 11:52:07] interpreter #0 executing 0 0
[21.07.2019 11:52:08] interpreter #0 executing 0 0
[21.07.2019 11:52:08] interpreter #0 executing 0 0
[21.07.2019 11:52:08] interpreter #0 executing 0 0
[21.07.2019 11:52:08] interpreter #0 executing 0 0
[21.07.2019 11:52:08] interpreter #0 executing 0 0
[21.07.2019 11:52:08] interpreter #0 executing 0 0
[21.07.2019 11:52:08] interpreter #0 executing 0 0
[21.07.2019 11:52:08] interpreter #0 executing 0 0
[21.07.2019 11:52:08] interpreter #0 executing 0 0
[21.07.2019 11:52:08] interpreter #0 executing 0 0
[21.07.2019 11:52:09] interpreter #0 executing 0 0
[21.07.2019 11:52:09] interpreter #0 executing 0 0
[21.07.2019 11:52:09] interpreter #0 executing 0 0
[21.07.2019 11:52:09] interpreter #0 executing 0 0
[21.07.2019 11:52:09] interpreter #0 executing 0 0
[21.07.2019 11:52:09] interpreter #0 executing 0 0
[21.07.2019 11:52:09] interpreter #0 executing 0 0
[21.07.2019 11:52:09] interpreter #0 executing 0 0
[21.07.2019 11:52:09] interpreter #0 executing 0 0
[21.07.2019 11:52:10] interpreter #0 executing 0 0
[21.07.2019 11:52:10] interpreter #0 executing 0 0
[21.07.2019 11:52:10] interpreter #0 executing 0 0
[21.07.2019 11:52:10] interpreter #0 executing 0 0
[21.07.2019 11:52:10] interpreter #0 executing 0 0
[21.07.2019 11:52:10] interpreter #0 executing 0 0
[21.07.2019 11:52:10] interpreter #0 executing 0 0
[21.07.2019 11:52:10] interpreter #0 executing 0 0
[21.07.2019 11:52:10] interpreter #0 executing 0 0
[21.07.2019 11:52:11] interpreter #0 executing 0 0
[21.07.2019 11:52:11] interpreter #0 executing 0 0
[21.07.2019 11:52:11] interpreter #0 executing 0 0
[21.07.2019 11:52:11] interpreter #0 executing 0 0
[21.07.2019 11:52:11] interpreter #0 executing 0 0
[21.07.2019 11:52:11] interpreter #0 executing 0 0
[21.07.2019 11:52:11] interpreter #0 executing 0 0
[21.07.2019 11:52:11] interpreter #0 executing 0 0
