[14.07.2019 20:37:36] Interpreter #0 got file C:\LatinName\Progs\empty.npr
[14.07.2019 20:37:36] Lexems of the program:
[14.07.2019 20:37:36] 0 lexems
[14.07.2019 20:37:40] Interpreter #3 got file C:\LatinName\test.npr
[14.07.2019 20:37:40] Lexems of the program:
[14.07.2019 20:37:40] 0 lexems
[14.07.2019 20:37:40] interpreter #0 executing 0 0
[14.07.2019 20:37:40] #3 entered pause
[14.07.2019 20:37:40] interpreter #0 executing 0 0
[14.07.2019 20:37:41] interpreter #0 executing 0 0
[14.07.2019 20:37:41] interpreter #0 executing 0 0
[14.07.2019 20:37:41] interpreter #0 executing 0 0
[14.07.2019 20:37:41] interpreter #0 executing 0 0
[14.07.2019 20:37:41] interpreter #0 executing 0 0
[14.07.2019 20:37:41] interpreter #0 executing 0 0
[14.07.2019 20:37:41] interpreter #0 executing 0 0
[14.07.2019 20:37:41] interpreter #0 executing 0 0
[14.07.2019 20:37:41] interpreter #0 executing 0 0
[14.07.2019 20:37:42] interpreter #0 executing 0 0
[14.07.2019 20:37:42] interpreter #0 executing 0 0
[14.07.2019 20:37:42] interpreter #0 executing 0 0
[14.07.2019 20:37:42] interpreter #0 executing 0 0
[14.07.2019 20:37:42] interpreter #0 executing 0 0
[14.07.2019 20:37:42] interpreter #0 executing 0 0
[14.07.2019 20:37:42] interpreter #0 executing 0 0
[14.07.2019 20:37:42] interpreter #0 executing 0 0
[14.07.2019 20:37:42] interpreter #0 executing 0 0
[14.07.2019 20:37:43] interpreter #0 executing 0 0
[14.07.2019 20:37:43] interpreter #0 executing 0 0
[14.07.2019 20:37:43] interpreter #0 executing 0 0
[14.07.2019 20:37:43] interpreter #0 executing 0 0
[14.07.2019 20:37:43] interpreter #0 executing 0 0
[14.07.2019 20:37:43] interpreter #0 executing 0 0
[14.07.2019 20:37:43] interpreter #0 executing 0 0
[14.07.2019 20:37:43] interpreter #0 executing 0 0
[14.07.2019 20:37:43] interpreter #0 executing 0 0
[14.07.2019 20:37:44] interpreter #0 executing 0 0
[14.07.2019 20:37:44] interpreter #0 executing 0 0
[14.07.2019 20:37:44] interpreter #0 executing 0 0
[14.07.2019 20:37:44] interpreter #0 executing 0 0
[14.07.2019 20:37:44] interpreter #0 executing 0 0
[14.07.2019 20:37:44] interpreter #0 executing 0 0
[14.07.2019 20:37:44] interpreter #0 executing 0 0
[14.07.2019 20:37:44] interpreter #0 executing 0 0
[14.07.2019 20:37:44] interpreter #0 executing 0 0
[14.07.2019 20:37:44] interpreter #0 executing 0 0
[14.07.2019 20:37:45] interpreter #0 executing 0 0
[14.07.2019 20:37:45] interpreter #0 executing 0 0
